date,home_team,away_team,team,minute
1978-10-25,Romania,Yugoslavia,Yugoslavia,22.0
1978-10-25,Romania,Yugoslavia,Romania,75.0
1978-10-25,Scotland,Norway,Scotland,87.0
1978-11-15,Netherlands,German DR,Netherlands,72.0
1979-03-28,Belgium,Austria,Belgium,21.0
1979-04-01,Cyprus,Yugoslavia,Yugoslavia,82.0
1979-04-04,Czechoslovakia,France,Czechoslovakia,67.0
1979-04-04,Romania,Spain,Romania,57.0
1979-05-02,Poland,Netherlands,Poland,64.0
1979-06-07,Sweden,Luxembourg,Sweden,54.0
1979-07-26,Bolivia,Brazil,Brazil,30.0
1979-07-26,Bolivia,Brazil,Bolivia,36.0
1979-08-23,Argentina,Brazil,Brazil,65.0
1979-08-29,Austria,Norway,Austria,46.0
1979-08-29,Chile,Venezuela,Chile,54.0
1979-08-29,Ecuador,Paraguay,Ecuador,64.0
1979-09-05,Ecuador,Uruguay,Uruguay,79.0
1979-09-12,Iceland,German DR,German DR,66.0
1979-09-26,Uruguay,Paraguay,Uruguay,54.0
1979-10-10,Poland,Iceland,Poland,74.0
1979-10-17,Northern Ireland,England,Northern Ireland,50.0
1979-10-23,Luxembourg,Sweden,Luxembourg,4.0
1979-10-31,Brazil,Paraguay,Brazil,61.0
1979-11-21,German DR,Netherlands,German DR,33.0
1980-02-24,Vanuatu,Papua New Guinea,Papua New Guinea,82.0
1980-02-25,New Zealand,Tahiti,New Zealand,47.0
1980-02-27,Germany,Malta,Germany,19.0
1980-03-19,Algeria,Egypt,Algeria,55.0
1980-03-26,Cyprus,Republic of Ireland,Cyprus,74.0
1980-03-26,Scotland,Portugal,Scotland,83.0
1980-06-02,Iceland,Wales,Wales,61.0
1980-06-11,Netherlands,Greece,Netherlands,65.0
1980-06-14,Germany,Netherlands,Netherlands,79.0
1980-06-18,Spain,England,Spain,48.0
1980-06-22,Belgium,Germany,Belgium,75.0
1980-06-22,Guinea,Lesotho,Guinea,52.0
1980-07-05,Kenya,Tanzania,Kenya,80.0
1980-07-13,DR Congo,Mozambique,DR Congo,30.0
1980-07-13,DR Congo,Mozambique,DR Congo,82.0
1980-07-27,Mozambique,DR Congo,Mozambique,55.0
1980-09-16,Korea DPR,Bangladesh,Bangladesh,60.0
1980-09-18,Kuwait,Malaysia,Kuwait,53.0
1980-09-18,Kuwait,Malaysia,Kuwait,77.0
1980-09-24,Korea Republic,United Arab Emirates,Korea Republic,78.0
1980-09-24,Turkey,Iceland,Turkey,72.0
1980-09-25,Kuwait,Qatar,Kuwait,50.0
1980-09-27,Yugoslavia,Denmark,Denmark,5.0
1980-09-27,Yugoslavia,Denmark,Yugoslavia,18.0
1980-09-28,Korea Republic,Korea DPR,Korea DPR,19.0
1980-10-11,Cyprus,France,France,40.0
1980-10-11,Cyprus,France,France,76.0
1980-10-15,Romania,England,Romania,75.0
1980-10-15,Wales,Turkey,Wales,37.0
1980-11-15,Italy,Yugoslavia,Italy,40.0
1980-11-19,Belgium,Netherlands,Belgium,48.0
1980-11-19,Denmark,Luxembourg,Denmark,41.0
1980-11-19,Republic of Ireland,Cyprus,Republic of Ireland,10.0
1980-12-03,Bulgaria,Germany,Germany,36.0
1980-12-28,Japan,Macau,Japan,80.0
1981-02-08,Venezuela,Brazil,Brazil,82.0
1981-03-11,Luxembourg,Greece,Greece,54.0
1981-03-22,Brazil,Bolivia,Brazil,26.0
1981-03-22,Brazil,Bolivia,Bolivia,68.0
1981-03-29,Brazil,Venezuela,Brazil,72.0
1981-04-04,Malta,German DR,German DR,20.0
1981-04-12,Guinea,Nigeria,Guinea,66.0
1981-04-26,Cameroon,DR Congo,Cameroon,67.0
1981-04-28,Scotland,Israel,Scotland,21.0
1981-04-28,Scotland,Israel,Scotland,30.0
1981-04-28,Switzerland,Hungary,Hungary,65.0
